Handle,Title,Body (HTML),Variant Price,Image Src,base_price,Demand ,Season,category,Vendor,Subcategory
Sheer Color Cheek Tint,Bobbi Brown,"Our beloved blush formula is back with a newly designed, more luxurious look. Featuring the same easy twist-up application, this sheer, tinted formula glides on smooth and blends in beautifully for a failproof flush of natural looking color on cheeks every time. ",109.95,https://www.temptalia.com/wp-content/uploads/2013/07/bobbibrown_nudebeach001.jpg,679.83,Normal,None,Beauty,Bobbi Brown,Women
Sheer Color Lip Gloss,Bobbi Brown,"Bobbi has sized up all her glosses to give you an extra dose of shine. Wear it on its own for sheer color or swipe it on top of lipstick for extra shine, plus the new tapered applicator lets you apply it like a pro. Bonus: Sheer Color Lip Gloss is infused with soothing botanical extracts to keep lips healthy and soft.",109.95,https://www.temptalia.com/wp-content/uploads/2012/04/bobbibrown_citrus001.jpg,519.87,Normal,None,Beauty,Bobbi Brown,Women
Shimmer Blush,Bobbi Brown,"Silky formula glides on smoothly and offers a matte finish with long-lasting wear. Comes in this sleek, flip-top compact that can be used individually or assembled into palettes (sold separately). ",109.95,https://www.temptalia.com/wp-content/uploads/2012/09/bobbibrown_coralshimmerblush006.jpg,759.81,Normal,None,Beauty,Bobbi Brown,Women
Shimmer Nail Lacquer,Bobbi Brown,"Dress up nails with long-lasting shimmer (it's Bobbi's favorite way to accessorize hands and toes). Pearlescent color casts nails in the starring role with a range of chic, shimmering shades.",109.95,https://www.temptalia.com/wp-content/uploads/2012/11/bobbibrown_blackpearlpolish001.jpg,199.95,Normal,None,Beauty,Bobbi Brown,Women
Treatment Lip Shine,Bobbi Brown,"Bobbi Brown Treatment Lip Shine is a Lipstick that retails for $23.00 and contains 0.07 oz. There are 4 shades that have been released, which you can select from below.",109.95,https://www.temptalia.com/wp-content/uploads/2012/06/bobbibrown_orchidpink001.jpg,319.92,Normal,None,Beauty,Bobbi Brown,Women
Bronzer/Blush Duo,Bobbi Brown,"Bobbi Brown Bronzer/Blush Duo is a Cheek Palette that retails for $36.00 and contains 0.34 oz. There are 1 shades that have been released, which you can select from below.",109.95,https://www.temptalia.com/wp-content/uploads/2012/08/bobbibrown_bahamapeony001.jpg,313.92,Normal,None,Beauty,Bobbi Brown,Women
Eyeshadow Palette,Bobbi Brown,"Bobbi Brown Eyeshadow Palette is a Eye Palette that retails for $52.00 and contains 0.28 oz. There are 10 shades that have been released, which you can select from below.",119.95,https://www.temptalia.com/wp-content/uploads/2011/11/bobbibrown_blackruby001.jpg,419.4,Normal,None,Beauty,Bobbi Brown,Women
Eye Paint Palette,Bobbi Brown,"Bobbi Brown Eye Paint Palette is a Eye Palette that retails for $45.00 and contains 0.12 oz. There are 2 shades that have been released, which you can select from below.",119.95,https://www.temptalia.com/wp-content/uploads/2011/11/bobbibrown_chocolategoldeyepaint001.jpg,247.9,Normal,None,Beauty,Bobbi Brown,Women
Eye Paint Eye Shadow,Bobbi Brown,"Bobbi Brown Eye Paint Eye Shadow is a Eyeshadow. There are 8 shades that have been released, which you can select from below.",119.95,https://www.temptalia.com/wp-content/uploads/2011/11/bobbibrown_chocolategoldeyepaint011.jpg,1956,Normal,None,Beauty,Bobbi Brown,Women
Face Blush,Inglot,"Vitamin E, sponge gourd oil and treated pigments allow this very fine textured blush to blend and adhere to all skin types to enhance the natural glow of the face.",119.95,https://www.temptalia.com/wp-content/uploads/2013/08/inglot_45blush001.jpg,712,Normal,None,Beauty,Inglot,Women
Aqua Eyes Eyeliner,Make Up For Ever,"Make Up For Ever Aqua Eyes Eyeliner is a Eyeliner that retails for $19.00 and contains 0.04 oz. There are 27 shades that have been released, which you can select from below.",,https://www.temptalia.com/wp-content/uploads/2010/04/makeupforever_16leyeliner001.jpg,890,Normal,None,Beauty,Make Up For Ever,Women
Kohl Pencil,Make Up For Ever,"Especially adapted to sensitive and thin skin around and inside the eye, the Kohl Pencil gives depth and intensity to the eyes. Its particularly gentle formula is tolerated by the most sensitive eyes, its soft and smooth texture blends effortlessly and keeps the skin around the eyes hydrated.",179.95,https://www.temptalia.com/wp-content/uploads/2012/01/makeupforever_1kkohl001.jpg,683,Normal,None,Beauty,Make Up For Ever,Women
Aqua Cream,Make Up For Ever,"Make Up For Ever Aqua Cream is a Eyeshadow that retails for $23.00 and contains 0.21 oz. There are 29 shades that have been released, which you can select from below.",179.95,https://www.temptalia.com/wp-content/uploads/2011/11/makeupforever_aquacreamset004.jpg,891,Normal,None,Beauty,Make Up For Ever,Women
Holodiam Powder,Make Up For Ever,"Hologram powder is a pearlescent, loose powder that plays with light for a multi-reflection color result. The powder is as shiny as a Diamond Powder, but with the added benefits of multi reflection color and high pay off. It can be used on the eyes and on the cheeks.",179.95,https://www.temptalia.com/wp-content/uploads/2012/11/makeupforever_303holodiam001.jpg,1386,Normal,None,Beauty,Make Up For Ever,Women
Eyeshadow Palette,Make Up For Ever,"Make Up For Ever Eyeshadow Palette is a Eye Palette that retails for $45.00 and contains 0.24 oz. There are 1 shades that have been released, which you can select from below.",179.95,https://www.temptalia.com/wp-content/uploads/2013/02/makeupforever_technicolor001.jpg,1683,Normal,None,Beauty,Make Up For Ever,Women
Aqua Shadow,Make Up For Ever,"Aqua Shadow dresses the eyes in pearly natural or matte smoky shades, all intense and irresistible. With its large tip and creamy texture, it can be applied in a single stroke, leaving behind exactly the right amount of product. Its unprecedented texture quickly covers the eyelid; it stays perfectly in place and does not highlight skin creases. Its buildable coverage enables natural as well as sophisticated makeup results, and it is easily blended with the fingertips.",179.95,https://www.temptalia.com/wp-content/uploads/2012/04/makeupforever_aquashadows012.jpg,1089,Normal,None,Beauty,Make Up For Ever,Women
Round the Clock Eyeliner,bareMinerals,"Enjoy hours of long-wearing vivid color with Round the ClockTMÂ Waterproof Eyeliner. This easy-glide formula smoothes on soft and creamy for blending until it sets for a waterproof line that won't smudge, run or fade.",179.95,https://www.temptalia.com/wp-content/uploads/2012/12/bareminerals_nightvisions003.jpg,398,Normal,None,Beauty,bareMinerals,Women
Loud & Clear Lip Sheer,bareMinerals,Amp up lips with a translucent splash of vivid high fidelity color and soft glistening shine. This sheer gel loads lips with shea butter and jojoba seed oil for maxed-out moisture for nourished and conditioned lips.,179.95,https://www.temptalia.com/wp-content/uploads/2013/02/bareminerals_ampedpink001.jpg,202,Normal,None,Beauty,bareMinerals,Women
Flawless Definition Volumizing Mascara,bareMinerals,"A mascara that give lashes the mineral care they've been craving while also delivering big-time volume and the perfect definition.This mascara contains the exclusive NutriPlumpâ„¢ formula that dramatically plumps lashes up to 600%* for unheard-of thickness, fullness, and flutter. The 100% pure bareMinerals formula is paraben free, clump free, and smudge proof, for lusciously thick lashes with superior volume.*After two coats of mascara, based on an independent study.",159.95,https://www.temptalia.com/wp-content/uploads/2017/03/bareMinerals_bareMinerals-Flawless-Definition-Volumizing-Mascara_Black.jpg,101,Normal,None,Beauty,bareMinerals,Women
High Shine Eyecolor,bareMinerals,"A high-intensity color eye shadow.This vibrantly colored shadow imparts a mega-watt sheen. The velvety-smooth formula glides on effortlessly for an extra creamy, opaque, foiled effect. ",159.95,https://www.temptalia.com/wp-content/uploads/2011/05/bareminerals_highshines006.jpg,101,Normal,None,Beauty,bareMinerals,Women
Prime Time Primer Shadow,bareMinerals,"Prime Time Primer Shadows provide vivid, rich, light-reflective metallic color in a lightweight texture.",159.95,https://www.temptalia.com/wp-content/uploads/2011/06/bareescentuals_primetimecolors008.jpg,258.7,Normal,None,Beauty,bareMinerals,Women
Prime Time Eyelid Primer,bareMinerals,"A repackaged editionÂ—now double in sizeÂ—of Bare Escentuals' bestselling silky eyelid primer.Designed especially for use with bareMinerals, this primer is an oil-free, fragrance-free way to maximize the color and extend the wear of your favorite bareMinerals Eyeshadows, Glimmers, and Glimpses. The gentle formula goes on sheer and lightweight yet provides heavy-duty staying power for the most vibrant and lasting color. Perfect for those days when you need all-day, all-night wear, the sheer, neutral tint doesn't interfere with your favorite colors, while the bareMinerals-infused smoothing base keeps excess oil from affecting wear.",,https://www.temptalia.com/wp-content/uploads/2017/03/bareMinerals_Prime-Time-Eyelid-Primer-Brightening_Gold.jpg,477.6,Normal,None,Beauty,bareMinerals,Women
Prime Time Foundation Primer,bareMinerals,"An amazing preservative-free foundation primer that's great for all skin types. Developed to combat flaky dryness, rough patches, fine lines, excess oil, enlarged pores, and uneven texture, this mineral-infused, satin-finish formula glides on seamlessly with no tacky feel to provide a skin-smoothing complexion before you apply foundation. For added age-defying power, it is infused with soothing plant extracts, antioxidants, and nourishing vitamins C and E.",,https://www.temptalia.com/wp-content/uploads/2017/03/bareMinerals_Prime-Time-Foundation-Primer-Brightening_Brightening.jpg,179.1,Normal,None,Beauty,bareMinerals,Women
Full-Finish Lipstick,Benefit,"Your search for the perfect lipstick is over! From naughty nudes to red carpet reds, these rich, seductiveÂ full-finish lipsticksÂ give you the coverage and color you've been longing for. This creamy formula with medium to full coverage. Leaves lips with a smooth finish. With 20 glamorous shades to choose from, you'll want them all!",220,https://www.temptalia.com/wp-content/uploads/2011/12/benefit_ithinkiloveyou001.jpg,603.2,Normal,None,Beauty,Benefit,Women
Longwear Powder Shadow,Benefit,"Finallyâ€¦powder eyeshadowÂ in a fabulous longwearing formula. This soft & silky shadow comes in 12 wearable shades and three finishes: matte, satin and sheen. From pale shell to brilliant silver, weâ€™ve got you covered!",220,https://www.temptalia.com/wp-content/uploads/2013/03/benefit_blingo001.jpg,686,Normal,None,Beauty,Benefit,Women
Stay Don't Stray,Benefit,"This dual-action power primer works 360 degrees around the eyes to make concealers AND eyeshadows STAY PUT. Concealers don't crease, eyeshadows stay vibrant & true. Sodium hyaluronate hydrates while Vitamins C & E help fight signs of aging.Â ",220,https://www.temptalia.com/wp-content/uploads/2012/11/benefit_staydontstraynew0011.jpg,392,Normal,None,Beauty,Benefit,Women
Ultra Plush Lip Gloss,Benefit,"The plushness is poutrageous! Our soft & silky glosses glide on sooo smooth, drenching lips in luscious color thatâ€™s never sticky.Â ",,https://www.temptalia.com/wp-content/uploads/2013/02/benefit_alister001.jpg,162.5,Normal,None,Beauty,Benefit,Women
Ultra Plush Lipgloss,Benefit,Our new plush glosses glide on extra smooth and feel ahhh-mazingly silky & luxurious.,,https://www.temptalia.com/wp-content/uploads/2013/02/benefit_fauxmance001.jpg,195,Normal,None,Beauty,Benefit,Women
Velvet Eyeshadow,Benefit,"TheseÂ velvet eyeshadowsÂ glide on light as a feather & the gorgeous shades look fabulous on everyone! Glide on bare lids for a dose of sheer, velvety color or layer over creaseless cream shadows for even richer color.",110,https://www.temptalia.com/wp-content/uploads/2011/12/benefit_dandybrandy001.jpg,245.4,Normal,None,Beauty,Benefit,Women
Nail Lacquer,Deborah Lippmann,"Deborah Lippmannâ„¢ signature nail polish was created for or inspired by some of the most iconic celebrities in fashion and music. Long-lasting, quick-dry formula is infused with strengthening green tea extract. All products contain NO toulene, NO formaldehyde or DBP and NO animal testing.",110,https://www.temptalia.com/wp-content/uploads/2012/06/deborahlippmann_mermaidsdreams001.jpg,108.6,Normal,None,Beauty,Deborah Lippmann,Women
On a Clear Day,Deborah Lippmann,"This ultra-glossy top coat protects your manicure with a chip-resistant formula and a UV inhibitor so polish does not discolor or fade. For best results, allow nail color to dry, then apply a thin coat.Â ",110,https://www.temptalia.com/wp-content/uploads/2013/05/deborahlippmann_onaclearday.jpg,72.4,Normal,None,Beauty,Deborah Lippmann,Women
Ridge Filler Base Coat,Deborah Lippmann,"Make your manicures last and last with this amazing base coat. Contains silica and silk fibers to fill in ridges and leave a smooth foundation for lacquer to adhere. Contains Aucoumea Klaineana extract, a natural resin from West African trees, which helps to strengthen nails and promotes healthier nails.",110,https://www.temptalia.com/wp-content/uploads/2013/05/deborahlippmann_ridgecoat.jpg,36.2,Normal,None,Beauty,Deborah Lippmann,Women
Anchor Base Coat,Zoya,"Bind color to nail with Zoya Anchor Basecoat. Polish adheres to nail by forming a bond between the nail plate and polish, preventing peeling and chipping. As an added bonus, complex protein chains strengthen nails.",,https://www.temptalia.com/wp-content/uploads/2013/05/zoya_colorlock.jpg,59.9,Normal,None,Beauty,Zoya,Women
Fast Drops Drying Drops,Zoya,"What is Zoya Fast DropsDrying Drops Zoya Fast Drops is a miraculous liquid that dries polish completely from top coat through base coat. Never smudge your manicures again! What Zoya Fast Drops Drying Drops Does Impatience is a virtue. Manicures and pedicures are good to go with Zoya Fast Drops Speed Drops. These phenomenal bubble-preventing drops completely dry your topcoat,polish and base coat fast and enhance color vibrancy. Color stays fresh and gorgeous for up to two weeks.",169.95,https://www.temptalia.com/wp-content/uploads/2013/05/zoya_colorlock.jpg,59.9,Normal,None,Beauty,Zoya,Women
Get Even Ridge Filler Base Coat,Zoya,"What is Zoya Get Even Ridge Filler Zoya Get Even is an advanced ridge filling base coat, the evens out uneven nail ridges and and holds nail polish in place. What Zoya Get Even Ridge Filler Does Uneven nails need not prevent polish perfection. Zoya Get Even Ridge Filling Basecoat acts as a smoothing compound for natural nails. It fills in uneven nail surfaces with a dense fiber-like formula that grips the nail plate and creates a smooth surface to insure longer polish wear.",169.95,https://www.temptalia.com/wp-content/uploads/2013/05/zoya_colorlock.jpg,239.6,Normal,None,Beauty,Zoya,Women
Nail Lacquer,Color Club,"Color Club Nail Lacquer is a Nail Lacquer. There are 160 shades that have been released, which you can select from below.",169.95,https://www.temptalia.com/wp-content/uploads/2013/04/colorclub_kismet006.jpg,359.4,Normal,None,Beauty,Color Club,Women
Nail Lacquer,SpaRitual,"SpaRitual lacquers are vegan and free of toluene, fomaldehyde, formaldehyde resin, and DBP. SpaRitual does not test on animals or use animal by-products in any formulations.",169.95,https://www.temptalia.com/wp-content/uploads/2012/10/sparitual_conglomerate001.jpg,299.5,Normal,None,Beauty,SpaRitual,Women
For Women,Burberry,"Fresh and clean, Burberry Bath and Shower Gel features an ephemeral harmony somewhere between sparkle and calm. Burberry for Women possesses a blend of peach, apricot, sandalwood, cedar, amber and musk.",,https://www.temptalia.com/wp-content/uploads/2013/04/burberry_forwomen.jpg,658.9,Normal,None,Beauty,Burberry,Women
Body,Burberry,"Burberry invites you to discover the new fragrance for women. Burberry Body is a feminine and sensual floral-woody fragrance with an eclectic combination of luxurious, refined notes, like a precious iconic trench coat wrapped around a woman's body. The scent has top notes of fresh green absinthe, illuminating elegant peach and refined freesia. The floral bouquet of natural rose absolute and iris blends gently with subtle warm tones of sandalwood to form the heart notes. Woody cashmeran, creamy vanilla, sensual amber and musk compose the base notes of this unique and seductive fragrance. Notes: freesia, green absinthe, peach, rose, iris, sandalwood, cashmeran, musk, amber, vanilla.",170,https://www.temptalia.com/wp-content/uploads/2013/04/burberry_body.jpg,1043.6,Normal,None,Beauty,Burberry,Women
Brit,Burberry,"Live from London. The Burberry Fragrance epitomizes modern-day British style. A timeless scent with a spirited attitude. Classic, fresh, feminine. Notes: lime, pear, peony, almond, mahogany, amber, tonka bean, vanilla.",170,https://www.temptalia.com/wp-content/uploads/2013/04/burberry_brit.jpg,571.8,Normal,None,Beauty,Burberry,Women
The Beat,Burberry,"A blend of unexpected contrasts expressing the unique personality of the Burberry woman, naturally sparkling and carnal, slightly wild, incredibly chic and sexy in Burberry.",170,https://www.temptalia.com/wp-content/uploads/2013/04/burberry_thebeat.jpg,548.9,Normal,None,Beauty,Burberry,Women
Baby Touch,Burberry,"In 2002, Burberry Baby Touch introduced a sweet, soft fragrance for mothers and babies that complements the successful childrenâ€™s line launched in 2001. The fashion line includes tiny trench coats and little cashmere sweaters in classic Burberry style. The delicate scent with layette-inspired packaging evokes the precious beauty of a newborn child. Burberry Baby Touch is a gentle floral fragrance with a delightful mix of fresh flower scents. The bright side comes from verbena, Mandarin and orange with a hint of spearmint and tang of rhubarb jelly. The scent warms with jasmine, orange blossom, lily of the valley and cyclamen. Soft musk, vanilla and a milky note make the scent easy and gentle. Top notes: Mandarin and orange zest, rhubarb jelly, verbena, wild spearmint. Heart notes: cyclamen, jasmine, lily of the valley, orange blossom. Base notes: milk, moss, vanilla.",170,https://www.temptalia.com/wp-content/uploads/2013/04/burberry_babytouch.jpg,411.2,Normal,None,Beauty,Burberry,Women
Brit Sheer,Burberry,"Discover the fresh, fruity, light-hearted floral fragrance of Burberry Brit Sheer in a special travel size that can be used anytime, anywhere. Embodying the youthful spirit of Burberry Brit, this fragrance represents a girl who is joyful, adventurous and playful. Notes: mandarin, yuzu, pineapple leaves, grapes, lychee, peach blossom, peony, nashi pear, woods, musk.",170,https://www.temptalia.com/wp-content/uploads/2013/04/burberry_britsheer.jpg,161.7,Normal,None,Beauty,Burberry,Women
Sport for Women,Burberry,"A fresh, zesty floral fragrance. Mandarin and sea salt: a surprising twist for a positive energy. The immediate sparkle of mandarin couples with a refreshing sea-salt accord that travels through the fragrance like a ray of energy. An outdoor crispy floralcy: The luminous hydroponic freesia and fresh honeysuckle sign the fragrance with a natural crystalline floralcy, both vivid and healthy. A unique solar vibration: The solar sand notes and the vivacious vetiver blend together in a vibrant and refined trail.",170,https://www.temptalia.com/wp-content/uploads/2013/04/burberry_sportwomen.jpg,431.2,Normal,None,Beauty,Burberry,Women
Touch,Burberry,"Stylishly presented in a bottle reminiscent of an old apothecary flask, Burberry Touch Men combines tradition, history and modernity. The elegant masculinity of a woody musk expresses well-being and authenticity. Invigorating white pepper and the smoothness of Virginia wood and oak moss. Like a strong, deep breath, the trail develops quietly into a sturdy, masculine alchemy of vetiver, white musk and tonka bean.",170,https://www.temptalia.com/wp-content/uploads/2013/04/burberry_touch.jpg,477.1,Normal,None,Beauty,Burberry,Women
No. 11 Eye Shaper,Burberry,Burberry Eye Brush No.11 is a wide contour brush made from ultrasoft goat hair. It is used for the outer corners of the lid to add depth and enhance the eyes. Used by Burberry Beauty makeup artists to create a contoured eye shape.,109.95,https://www.temptalia.com/wp-content/uploads/2013/04/burberry_no11eyeshaper.jpg,249.5,Normal,None,Beauty,Burberry,Women
No. 9 Socket Line,Burberry,"Burberry Eye Brush No. 09 is a long-bristled blending brush with a slight point. Made from ultrasoft goat hair, it is used to apply eyeshadow at the tip to create a deeper, but soft, socket line. Used by Burberry Beauty makeup artists to create an effortless smoky eye look.",109.95,https://www.temptalia.com/wp-content/uploads/2013/04/burberry_no9socket.jpg,299.4,Normal,None,Beauty,Burberry,Women
Eye Definer,Burberry,"Burberry Eye Definer enhance and intensify your natural eye colour. Formulated using natural conditioning waxes and emollient oils, Burberry Eye Shaping Pencils glide on effortlessly to highlight the eye colour and shape. Water resistant and long-wearing.",109.95,https://www.temptalia.com/wp-content/uploads/2010/12/burberry_midnightbrownliner001.jpg,349.3,Normal,None,Beauty,Burberry,Women
Fresh Glow,Burberry,"Burberry Fresh Glow is a lightweight, luminous fluid base that gives the skin a gentle fresh shimmer and sheer dewy finish. The unique pink color complements all skin tones and enhances the complexion for an effortlessly radiant, healthy look. The beautifying formula contains wild rose extract, which provides moisturizing benefits and regenerating properties. The skin is hydrated, protected and has a natural healthy glow.",109.95,https://www.temptalia.com/wp-content/uploads/2013/04/burberry_freshglow.jpg,219.89,Normal,None,Beauty,Burberry,Women
Light Glow Natural Blush,Burberry,"Burberryâ€™s Light Glow Natural Blush instantly boosts the complexion with a subtle, heathy-looking radiance. The fine powder is ultrabuildable, and it includes a brush applicator and convenient mirrored case. ",109.95,https://www.temptalia.com/wp-content/uploads/2012/08/burberry_blossomblush001.jpg,179.91,Normal,None,Beauty,Burberry,Women
Lip Cover,Burberry,"Burberry Lip Cover is a Lipstick that retails for $30.00 and contains 0.12 oz. There are 32 shades that have been released, which you can select from below.",129.95,https://www.temptalia.com/wp-content/uploads/2012/03/burberry_devonsunset001.jpg,259.87,Normal,None,Beauty,Burberry,Women
Lip Definer,Burberry,"Burberry soft and smooth Lip Definer add natural looking definition to the lips, effortlessly enhancing their shape and colour.",129.95,https://www.temptalia.com/wp-content/uploads/2013/04/burberry_lipdefiner.jpg,319.84,Normal,None,Beauty,Burberry,Women
Warm Glow,Burberry,"Get a bright and radiant finish with warm glowing skin, reminiscent of the freshness of a spring morning.",129.95,https://www.temptalia.com/wp-content/uploads/2013/03/burberry_summerglow001.jpg,419.79,Normal,None,Beauty,Burberry,Women
Film Noir Full Spectrum Mascara,Hourglass,"What it is: A mascara that offers multiple fringe benefits in one full-spectrum formula. What it does: Film Noir's signature hourglass-shaped brush is designed for optimal application, adding volume, length, lift, and separation to lashes. The intense concentration of Panthenol (ProVitamin B5) adds a reflective, jet-black sheen for dramatic impact. What it is formulated WITHOUT: - Sulfates - Synthetic Fragrances - Synthetic Dyes - Phthalates - GMOs - Triclosan",129.95,https://www.temptalia.com/wp-content/uploads/2013/05/hourglass_filmnoir.jpg,579.71,Normal,None,Beauty,Hourglass,Women
Opaque Rouge Liquid Lipstick,Hourglass,"The proprietary blend of advanced polymers in this liquid lipstick delivers intense, vibrant color with exceptional longevity. Skin-conditioning emollients, antioxidant fruit extracts, cili fruit, goji berry, and vitamins A, C and E help to protect the lips throughout the day.",129.95,https://www.temptalia.com/wp-content/uploads/2012/08/hourglass_muse0011.jpg,651.72,Normal,None,Beauty,Hourglass,Women
Script Precision Liquid Liner,Hourglass,"This eyeliner defines and contours without drag, pull, or skip. The long-wearing formula dries rapidly to prevent smearing and transfer. The super-fine pen lets you create everything from subtle definition on the eyes (by applying at the base of lashes) to an exaggerated cat eye worthy of the runway. ",129.95,https://www.temptalia.com/wp-content/uploads/2011/06/hourglass_script001.jpg,575.76,Normal,None,Beauty,Hourglass,Women
Beauty Brush,Burberry,"A natural beauty brush made of pony and goat hair for extreme softness and precise application. Use with powders to apply all over the face, especially with the Warm Glow.",129.95,https://www.temptalia.com/wp-content/uploads/2013/04/burberry_bufferbrush.jpg,647.73,Normal,None,Beauty,Burberry,Women
Eyeshadow Duo,Hourglass,"Hourglass Eyeshadow Duo is a Eye Palette that retails for $38.00. There are 6 shades that have been released, which you can select from below.",129.95,https://www.temptalia.com/wp-content/uploads/2013/04/hourglass_gypsy003.jpg,671.72,Normal,None,Beauty,Hourglass,Women
Colour Core Moisture Stain Lipstick,Le Metier de Beaute,"This creamy hydrating formula delivers essential moisture and full-coverage color to lips while maintaining the lasting power of a lip stain. Lip-loving moisturizers including jojoba, lanolin and shea butter keep lips soft and supple.",129.95,https://www.temptalia.com/wp-content/uploads/2012/05/lemetierdebeaute_fiji001.jpg,455.81,Normal,None,Beauty,Le Metier de Beaute,Women
CrÃ¨me Fresh Tint,Le Metier de Beaute,"Le Metier de Beaute CrÃ¨me Fresh Tint is a Blush that retails for $28.00 and contains 0.17 oz. There are 5 shades that have been released, which you can select from below.",129.95,https://www.temptalia.com/wp-content/uploads/2012/02/lemetierdebeaute_gingerlily001.jpg,455.81,Normal,None,Beauty,Le Metier de Beaute,Women
Nail Lacquer,Le Metier de Beaute,"Specifically formulated to be 3-Free without formaldehyde, toluene and dibutyl phthalate (DBP). Proposition 65-compliant and fortified with strengthening proteins and hydrators. Le MÃ©tier de BeautÃ© Nail Lacquers are highly pigmented for rich, glossy, long-wearing color.",129.95,https://www.temptalia.com/wp-content/uploads/2012/12/lemetierdebeaute_anatolia001.jpg,335.86,Normal,None,Beauty,Le Metier de Beaute,Women
Radiance Powder Rouge,Le Metier de Beaute,"Enhance your complexion with a hint of natural blush. Ultralight powder contours and defines the cheek while adding just the right blush of color. Universal shades. Adjustable coverage, transparency and intensity. Shine-absorbing, oil-free formula. Safe for all skin types, including sensitive skin.",129.95,https://www.temptalia.com/wp-content/uploads/2013/09/lemetierdebeaute_whisper001.jpg,191.92,Normal,None,Beauty,Le Metier de Beaute,Women
Sheer Brilliance Lip Gloss,Le Metier de Beaute,"Drench lips in total luxury: sumptuous, punchy color saturates lips in a unique, ultra-lightweight formula enriched with emollients and antioxidants for beautiful, supple lips. Elegant, semi-translucent glossy color. Vitamin E and lanolin for soft, supple lips. Silky texture and easy-glide formula. Never heavy or sticky.",129.95,https://www.temptalia.com/wp-content/uploads/2012/04/lemetierdebeaute_hibiskiss001.jpg,167.93,Normal,None,Beauty,Le Metier de Beaute,Women
